custid,lname,fname,zip,dob,premuser,acctcreation,email
1,Alejandro,Rosalez,2458,12/28/62,f,9/16/99,zckmad3386@example.com
2,AnaCarolina,Silva,58793,12/10/68,t,8/4/96,amdfov8511@example.edu
3,Arnav,Desai,22263,11/11/83,f,11/8/98,ompxfc5104@example.net
4,Carlos,Salazar,52905,10/17/70,t,12/24/10,nzqhwo7739@example.biz
5,Diego,Ramirez,38282,2/7/68,t,11/1/02,zgnhzh2914@example.org
6,Jane,Doe,76668,11/6/64,t,10/6/15,aeokso3384@example.info
7,Jane,Roe,90437,8/27/70,t,10/11/14,dhtntd4751@example.eu
8,John,Doe,11510,6/27/71,t,6/28/15,qfoxlt1155@example.mobi
9,John,Stiles,15972,4/15/74,f,2/7/00,icnqtk4929@example.pro
10,Jorge,Souza,79148,6/23/86,f,5/25/98,otqmmn3620@example.jobs
11,Li,Juan,28971,4/27/82,f,1/24/09,dqoaig4853@example.com
12,Liu,Jie,3819,10/2/70,t,8/24/17,rnbzwm7831@example.edu
13,Márcia,Oliveira,31082,12/13/63,f,12/3/06,neiyoc6183@example.net
14,María,García,36473,1/20/81,f,12/19/14,vrboji2573@example.biz
15,Martha,Rivera,43823,12/23/78,t,4/8/17,xgheat1842@example.org
16,Mary,Major,15261,10/8/71,t,11/5/15,bbfsok7641@example.info
17,Mateo,Jackson,4580,11/2/86,t,12/7/09,rwulnp5391@example.eu
18,Nikhil,Jayashankar,78691,6/1/84,t,5/2/16,swejgv8586@example.mobi
19,Paulo,Santos,52266,2/10/72,f,1/29/98,qjwupb7306@example.pro
20,Richard,Roe,35425,1/7/89,f,5/19/01,vbsces3488@example.jobs
21,Saanvi,Sarkar,25480,12/23/86,f,12/30/17,ynwpoz7217@example.com
22,Shirley,Rodriguez,27792,10/25/88,t,9/9/11,ouaomm1592@example.edu
23,Sofía,Martínez,53092,6/21/74,t,10/24/02,esdleu2900@example.net
24,Wang,Xiulan,75543,1/16/84,f,1/12/96,dxgpbq8021@example.biz
25,Zhang,Wei,28999,12/19/67,t,3/3/01,eeliur3386@example.org
26,Alejandro,Rosalez,65894,11/17/60,t,10/20/06,akzcin8147@example.info
27,AnaCarolina,Silva,27861,4/5/82,f,2/19/02,fcbxwv2315@example.eu
28,Arnav,Desai,41425,1/9/64,f,3/30/15,cevkjf4257@example.mobi
29,Carlos,Salazar,83083,2/4/65,f,9/30/03,tjtdgx7119@example.pro
30,Diego,Ramirez,26288,4/7/87,f,12/4/00,mcztaa3028@example.jobs
31,Jane,Doe,56507,7/7/89,t,1/12/17,uqkids7654@example.com
32,Jane,Roe,55205,9/19/67,f,5/17/07,yxsuan7490@example.edu
33,John,Doe,89218,4/20/71,f,11/17/00,iaowva3508@example.net
34,John,Stiles,65412,5/10/72,t,11/21/03,qyymry5560@example.biz
